DATE,TIME,FIELD,VENUE,ROUND,GRADE,TEAM 1,TEAM 2
13/04/2025,,,,4,4TH GRADE,Newcastle Hockey Association Wests Red,BYE
27/04/2025,13:30,EF,Newcastle International Hockey Centre,5,2ND GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
27/04/2025,14:00,,Maitland Park,5,2ND GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
27/04/2025,12:00,EF,Newcastle International Hockey Centre,5,3RD GRADE,Newcastle Hockey Association Wests Red,Newcastle Hockey Association Wests Green
27/04/2025,16:30,EF,Newcastle International Hockey Centre,5,3RD GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University
27/04/2025,09:00,WF,Newcastle International Hockey Centre,5,3RD GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Souths
27/04/2025,13:30,SF,Newcastle International Hockey Centre,5,3RD GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University Seapigs
27/04/2025,10:30,WF,Newcastle International Hockey Centre,5,4TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Wests Green
27/04/2025,15:00,WF,Newcastle International Hockey Centre,5,4TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Norths
27/04/2025,10:30,SF,Newcastle International Hockey Centre,5,4TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Wests Red
27/04/2025,12:30,,Maitland Park,5,4TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
27/04/2025,12:00,WF,Newcastle International Hockey Centre,5,5TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University
26/04/2025,09:00,SF,Newcastle International Hockey Centre,5,5TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Port Stephens
27/04/2025,12:00,SF,Newcastle International Hockey Centre,5,5TH GRADE,Newcastle Hockey Association Tigers Black,Newcastle Hockey Association University Seapigs
27/04/2025,09:30,,Maitland Park,5,5TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Tigers Yellow
27/04/2025,09:00,EF,Newcastle International Hockey Centre,5,6TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association University
27/04/2025,10:30,EF,Newcastle International Hockey Centre,5,6TH GRADE,Newcastle Hockey Association University Gentlemen,Newcastle Hockey Association Wests
27/04/2025,15:00,SF,Newcastle International Hockey Centre,5,6TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Colts
27/04/2025,11:00,,Maitland Park,5,6TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
27/04/2025,15:00,EF,Newcastle International Hockey Centre,5,HCPHL,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
27/04/2025,13:30,WF,Newcastle International Hockey Centre,5,HCPHL,Newcastle Hockey Association Norths,Newcastle Hockey Association Gosford
27/04/2025,15:30,,Maitland Park,5,HCPHL,Newcastle Hockey Association Maitland,Newcastle Hockey Association Souths
27/04/2025,,,,5,2ND GRADE,Newcastle Hockey Association Norths,BYE
27/04/2025,,,,5,3RD GRADE,Newcastle Hockey Association Tigers,BYE
27/04/2025,,,,5,4TH GRADE,Newcastle Hockey Association University,BYE
27/04/2025,,,,5,5TH GRADE,Newcastle Hockey Association Wests,BYE
27/04/2025,,,,5,5TH GRADE,Newcastle Hockey Association Crusaders,BYE
