DATE,TIME,FIELD,VENUE,ROUND,GRADE,TEAM 1,TEAM 2
13/04/2025,8:30,EF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association University Seapigs
13/04/2025,14:30,WF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Souths
13/04/2025,,,,4,3RD GRADE,Wests Red,BYE
13/04/2025,14:30,SF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests Green
13/04/2025,13:00,WF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Souths
13/04/2025,10:00,SF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Tigers
13/04/2025,10:00,EF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University
13/04/2025,,,,4,4TH GRADE,Wests Red,BYE
13/04/2025,17:30,EF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Tigers Black
13/04/2025,10:00,WF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Wests
13/04/2025,13:00,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Port Stephens
13/04/2025,11:30,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Tigers Yellow
13/04/2025,17:30,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association University Seapigs,Newcastle Hockey Association University
13/04/2025,16:00,SF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association University Gentlemen
13/04/2025,8:30,WF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Souths
13/04/2025,16:00,EF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
13/04/2025,8:30,SF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association University
13/04/2025,15:00,,Central Coast Hockey Park,4,HCPHL,Newcastle Hockey Association Gosford,Newcastle Hockey Association Maitland
13/04/2025,16:00,WF,Newcastle International Hockey Centre,4,HCPHL,Newcastle Hockey Association Souths,Newcastle Hockey Association Tigers
13/04/2025,14:30,EF,Newcastle International Hockey Centre,4,HCPHL,Newcastle Hockey Association Norths,Newcastle Hockey Association Wests
